### Trial# #Disabled Nodes Rate 3# #Avg. lookup time#
1 6.659238901048689
2 9.881529883430659
3 12.458853497271209
4 14.859977709630282
5 20.924682742325206
6 24.783062501843645
7 28.682627749782746
8 30.585817483529176
9 34.6390513823911
10 35.425920943686
11 37.31525295882457
12 38.672481566100465
13 38.19483847620901
14 39.97045974506695
15 39.70401682333258
16 42.515152684904585
17 41.1442996021351
18 42.67167053251869
19 40.72632993690657
20 41.471638445157055
21 43.450666340902494
22 43.815496860056925
23 44.12242331501647
24 45.26801127226587
25 42.41882989065736
26 44.18746453336888
27 45.9560392598171
28 44.27340915658934
29 46.95575915356536
30 45.14033184138982
31 49.63280576619514
32 42.870186386978396
33 50.4822124766001
34 44.51621920760714
35 48.42172684944165
36 50.67536695458177
37 49.11685501897598
38 43.326676019403145
39 48.12503022601097
40 49.51633211005888
41 52.29013377010009
42 48.44346180355494
43 52.66918798708544
44 48.08418327064047
45 48.99314857692503
46 48.3804078655634
47 54.474225624331424
48 44.917480415683535
49 47.53932516670949
50 46.52364530986652
